Luas Tanam Panen dan Produksi Komoditi Padi Tahun 2021 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kecamatan,Januari,,,Februari,,,Maret,,,April,,,Mei,,,Juni,,,Juli ,,,Agustus,,,Sept,,,Okt,,,Nov,,,Des,,,Total,,,IP,,
,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,,,
Galang,444,0,0,0,201.8,1261.25,0,221.1,1381.875,238.4,96.1,600.625,429.6,149,931.25,1794.5,1376.4,8602.5,2.527464789,,710,,,,,,,,,,,,,,,,,,,,,
Tanjung Morawa,887.1,288.3,1801.875,209.5,209.5,1309.375,881.3,1226.4,7665,345,192.2,1201.25,887.1,695.8,4348.75,5565.7,5565.8,34786.25,2.302730658,,2417,,,,,,,,,,,,,,,,,,,,,
Patumbak,28.8,28.8,180,20.2,125.9,786.875,7.7,48.1,300.625,151.9,28.8,180,22.1,13.5,84.375,450.7,504.6,3153.75,2.076958525,,217,,,,,,,,,,,,,,,,,,,,,
Deli Tua,0,0,0,13.5,0,0,0,0,0,0,0,0,0,13.5,84.375,27,40.5,253.125,1.928571429,,14,,,,,,,,,,,,,,,,,,,,,
Sunggal,408.5,0,0,161.5,161.5,1009.375,198.9,933.2,5832.5,734.3,384.4,2402.5,407.5,161.5,1009.375,4173.3,3612.9,22580.625,2.670057582,,1563,,,,,,,,,,,,,,,,,,,,,
Hamparan Perak,0,384.4,2402.5,1549.3,1441.7,9010.625,2810.3,2731.4,17071.25,1097.6,961.1,6006.875,0,1549.3,9683.125,11792.7,13194.9,82468.125,2.076910884,,5678,,,,,,,,,,,,,,,,,,,,,
Labuhan Deli,1111,0,0,0,389.2,2432.5,121.1,1922.2,12013.75,2190.3,1109.1,6931.875,1109.1,0,0,7131.2,6741.1,42131.875,2.003708907,,3559,,,,,,,,,,,,,,,,,,,,,
Percut S Tuan,357.5,28.8,180,601.6,60.5,378.125,2704.5,3905.9,24411.875,1216.8,357.5,2234.375,357.5,601.6,3760,9356.1,9068.8,56680,1.842477353,,5078,,,,,,,,,,,,,,,,,,,,,
Batang Kuis,67.3,0,0,432.5,531.5,3321.875,33.6,380.6,2378.75,451,96.1,600.625,67.3,432.5,2703.125,2032.1,2329.6,14560,1.99421001,,1019,,,,,,,,,,,,,,,,,,,,,
Pantai Labu,317.2,788.1,4925.625,1248.5,549.7,3435.625,1585.8,1753,10956.25,831.4,317.2,1982.5,317.2,1248.5,7803.125,8216.6,8192.5,51203.125,1.98277027,,4144,,,,,,,,,,,,,,,,,,,,,
Beringin,187.4,830.4,5190,2152.9,521.9,3261.875,0,147,918.75,235.5,187.4,1171.25,187.4,2152.9,13455.625,5343.7,6097.2,38107.5,1.99391791,,2680,,,,,,,,,,,,,,,,,,,,,
Lubuk Pakam,384.4,384.4,2402.5,236.4,236.4,1477.5,70.2,764.1,4775.625,693.9,384.4,2402.5,384.4,236.4,1477.5,3161.9,2900.5,18128.125,2.194240111,,1441,,,,,,,,,,,,,,,,,,,,,
Pagar Merbau,624.7,1333,8331.25,1381.1,0,0,0,0,0,0,0,0,624.7,1381.1,8631.875,4636.3,4407.6,27547.5,2.221514135,,2087,,,,,,,,,,,,,,,,,,,,,
JUMLAH,5104.3,4541.9,28386.875,8807.6,5620.4,35127.5,8909.2,15486.2,96788.75,10254.4,4377.7,27360.625,5055.3,9436.2,58976.25,72335.1,72141.1,450881.875,2.128003648,,33992,,,,,,,,,,,,,,,,,,,,,
